WordID	Kanji	Onyomi	Kunyomi	English	JLPT Level	Category
97	暖かい		あたたかい	warm	N5	Vocabulary
98	頭		あたま	head	N5	Vocabulary
99	新しい		あたらしい	new	N5	Vocabulary
100			あちら	there	N5	Vocabulary
101	暑い		あつい	hot	N5	Vocabulary
102	熱い		あつい	hot to the touch	N5	Vocabulary
103	厚い		あつい	kind, deep, thick	N5	Vocabulary
104			あっち	over there	N5	Vocabulary
105	後		あと	afterwards	N5	Vocabulary
106			あなた	you	N5	Vocabulary
107	兄		あに	(humble) older brother	N5	Vocabulary
108	姉		あね	(humble) older sister	N5	Vocabulary
109			あの	that over there	N5	Vocabulary
110			あの	um...	N5	Vocabulary
111			アパート	apartment	N5	Vocabulary
112			あびる	to bathe, to shower	N5	Vocabulary
113	危ない		あぶない	dangerous	N5	Vocabulary
114	甘い		あまい	sweet	N5	Vocabulary
115			あまり	not very	N5	Vocabulary
116	雨		あめ	rain	N5	Vocabulary
117	飴		あめ	candy	N5	Vocabulary
118	洗う		あらう	to wash	N5	Vocabulary
119			ある	to be,to have (used for inanimate objects)	N5	Vocabulary
120	歩く		あるく	to walk	N5	Vocabulary
121			あれ	that	N5	Vocabulary
122			いい/よい	good	N5	Vocabulary
123			いいえ	no	N5	Vocabulary
124	言う		いう	to say	N5	Vocabulary
125	家		いえ	house	N5	Vocabulary
126			いかが	how	N5	Vocabulary
127	行く		いく	to go	N5	Vocabulary
128			いくつ	how many?,how old?	N5	Vocabulary
129			いくら	how much?	N5	Vocabulary
130	池		いけ	pond	N5	Vocabulary
131	医者		いしゃ	medical doctor	N5	Vocabulary
132			いす	chair	N5	Vocabulary
133	忙しい		いそがしい	busy, irritated	N5	Vocabulary
134	痛い		いたい	painful	N5	Vocabulary
135	一		いち	one	N5	Vocabulary
136	一日		いちにち	first of the month	N5	Vocabulary
137			いちばん	best, first	N5	Vocabulary
138			いつ	when	N5	Vocabulary
139	五日		いつか	five days, fifth day	N5	Vocabulary
140	一緒		いっしょ	together	N5	Vocabulary
141	五つ		いつつ	five	N5	Vocabulary
142			いつも	always	N5	Vocabulary
143	犬		いぬ	dog	N5	Vocabulary
144	今		いま	now	N5	Vocabulary
